trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
113,False,"{'a': 0.9, 'e': 0.6609999999999997}",30,20,10.808827887433822,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.9, 'e': 0.6579999999999997}",20,0,-57.00936392438498,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
115,False,"{'a': 0.9, 'e': 0.6549999999999997}",25,0,-59.66993565304885,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 1}",0
116,False,"{'a': 0.9, 'e': 0.6519999999999997}",25,0,-118.96047397027232,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
117,False,"{'a': 0.9, 'e': 0.6489999999999997}",20,0,-109.621946409005,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
118,False,"{'a': 0.9, 'e': 0.6459999999999997}",20,0,-19.703010857292693,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
119,False,"{'a': 0.9, 'e': 0.6429999999999997}",30,9,-25.12794496845875,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 0}",1
120,False,"{'a': 0.9, 'e': 0.6399999999999997}",25,12,1.0692550158745076,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
121,False,"{'a': 0.9, 'e': 0.6369999999999997}",20,0,-94.72041715597403,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
122,False,"{'a': 0.9, 'e': 0.6339999999999997}",20,0,-42.80611790059308,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
123,False,"{'a': 0.9, 'e': 0.6309999999999997}",25,0,-82.8449040627199,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
124,False,"{'a': 0.9, 'e': 0.6279999999999997}",20,0,-96.20796995269798,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
125,False,"{'a': 0.9, 'e': 0.6249999999999997}",20,0,-9.746798431477728,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
126,False,"{'a': 0.9, 'e': 0.6219999999999997}",25,0,-12.991731653589207,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
127,False,"{'a': 0.9, 'e': 0.6189999999999997}",25,0,-44.74087139390268,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
128,False,"{'a': 0.9, 'e': 0.6159999999999997}",25,0,-5.373411269297051,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
129,False,"{'a': 0.9, 'e': 0.6129999999999997}",20,7,-117.81986335503872,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 2}",1
130,False,"{'a': 0.9, 'e': 0.6099999999999997}",25,2,-75.18873096728699,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 1}",1
131,False,"{'a': 0.9, 'e': 0.6069999999999997}",25,0,-77.2627700233615,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
132,False,"{'a': 0.9, 'e': 0.6039999999999996}",30,0,-73.9217963431135,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
133,False,"{'a': 0.9, 'e': 0.6009999999999996}",35,0,-187.45432980774723,"{0: 24, 1: 1, 2: 5, 3: 2, 4: 3}",0
134,False,"{'a': 0.9, 'e': 0.5979999999999996}",20,0,-29.592118416752662,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
135,False,"{'a': 0.9, 'e': 0.5949999999999996}",20,0,-66.83523435476096,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
136,False,"{'a': 0.9, 'e': 0.5919999999999996}",20,0,-109.22317483181563,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
137,False,"{'a': 0.9, 'e': 0.5889999999999996}",25,6,-40.38021341378794,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
138,False,"{'a': 0.9, 'e': 0.5859999999999996}",20,0,-61.46940048518513,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
139,False,"{'a': 0.9, 'e': 0.5829999999999996}",25,0,-80.25264125873097,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
